ts,ref_temp,real_temp,balcony,cabine
2017-12-31 01:07:04.245,-1.0,23.0,-1.0,-1.0
2017-12-31 01:26:04.250,-1.0,23.1,-1.0,-1.0
2017-12-31 01:40:04.241,-1.0,23.3,-1.0,-1.0
2017-12-31 01:42:34.241,-1.0,23.1,-1.0,-1.0
2017-12-31 01:48:34.243,-1.0,23.1,-1.0,1.0
2017-12-31 01:53:04.242,-1.0,23.0,-1.0,1.0
2017-12-31 01:59:04.246,-1.0,22.9,-1.0,1.0
2017-12-31 02:07:04.245,-1.0,22.8,-1.0,1.0
2017-12-31 02:18:04.241,-1.0,22.6,-1.0,1.0
2017-12-31 02:37:34.245,-1.0,22.6,-1.0,0.0
2017-12-31 02:42:04.246,-1.0,22.5,-1.0,0.0
2017-12-31 02:43:34.241,-1.0,22.6,-1.0,0.0
2017-12-31 02:56:04.241,-1.0,22.8,-1.0,0.0
2017-12-31 03:12:04.244,-1.0,22.7,-1.0,0.0
2017-12-31 03:35:04.241,-1.0,22.5,-1.0,0.0
2017-12-31 03:35:34.241,-1.0,22.8,-1.0,0.0
2017-12-31 03:38:04.246,-1.0,22.8,-1.0,1.0
2017-12-31 03:39:04.242,-1.0,22.6,-1.0,1.0
2017-12-31 03:45:34.245,-1.0,22.8,-1.0,1.0
2017-12-31 04:03:04.241,-1.0,22.6,-1.0,1.0
2017-12-31 04:48:04.246,-1.0,22.6,-1.0,0.0
2017-12-31 05:01:04.246,-1.0,22.5,-1.0,0.0
2017-12-31 05:17:34.245,22.5,22.5,-1.0,0.0
2017-12-31 05:26:04.246,22.5,22.4,-1.0,0.0
2017-12-31 05:28:04.241,22.5,22.5,-1.0,0.0
2017-12-31 05:31:04.241,22.5,22.6,-1.0,0.0
2017-12-31 05:33:34.244,22.5,22.8,-1.0,0.0
2017-12-31 05:39:04.246,22.5,22.9,-1.0,0.0
2017-12-31 05:45:04.241,22.5,23.0,-1.0,0.0
2017-12-31 05:53:04.241,22.5,23.2,-1.0,0.0
2017-12-31 05:55:34.245,22.5,23.3,-1.0,0.0
2017-12-31 05:59:34.241,22.5,23.4,-1.0,0.0
2017-12-31 06:02:04.241,22.5,23.5,-1.0,0.0
2017-12-31 06:03:34.244,22.5,23.7,-1.0,0.0
2017-12-31 06:13:34.245,22.5,23.6,-1.0,0.0
2017-12-31 06:22:34.245,22.5,23.4,-1.0,0.0
2017-12-31 07:02:34.245,23.1,23.3,-1.0,0.0
2017-12-31 07:07:34.245,23.1,23.4,-1.0,0.0
2017-12-31 07:09:34.246,23.1,23.3,-1.0,0.0
2017-12-31 07:11:34.244,23.1,23.2,-1.0,0.0
2017-12-31 07:14:34.246,23.1,23.1,-1.0,0.0
2017-12-31 07:18:04.241,23.1,22.9,-1.0,0.0
2017-12-31 07:21:34.241,23.1,22.8,-1.0,0.0
2017-12-31 07:25:04.241,23.1,22.6,-1.0,0.0
2017-12-31 07:28:34.241,23.1,22.5,-1.0,0.0
2017-12-31 07:33:34.244,23.1,22.4,-1.0,0.0
2017-12-31 07:37:04.245,23.1,22.2,-1.0,0.0
2017-12-31 07:40:04.246,23.1,22.1,-1.0,0.0
2017-12-31 07:43:34.244,23.1,22.0,-1.0,0.0
2017-12-31 07:49:34.245,23.1,21.8,-1.0,0.0
2017-12-31 07:52:34.251,23.1,21.7,-1.0,0.0
2017-12-31 07:56:04.245,23.1,21.6,-1.0,0.0
2017-12-31 08:00:34.245,23.1,21.5,-1.0,0.0
2017-12-31 09:02:04.249,23.1,21.3,-1.0,0.0
2017-12-31 09:09:04.268,23.1,21.5,-1.0,0.0
2017-12-31 09:37:04.249,23.1,21.3,-1.0,0.0
2017-12-31 09:48:04.246,23.1,21.5,-1.0,0.0
2017-12-31 14:21:04.243,23.1,21.5,1.0,0.0
2017-12-31 14:22:04.246,23.1,21.5,0.0,0.0
2017-12-31 14:26:04.246,23.1,21.5,1.0,0.0
2017-12-31 14:27:04.246,23.1,21.5,0.0,0.0
2017-12-31 14:53:34.241,23.1,21.5,1.0,0.0
2017-12-31 15:14:34.241,20.8,21.3,0.0,1.0
2017-12-31 15:15:34.241,20.8,23.1,0.0,1.0
2017-12-31 15:16:04.241,20.8,23.1,0.0,1.0
2017-12-31 15:16:34.245,20.8,23.3,0.0,1.0
2017-12-31 15:18:04.241,20.8,23.4,0.0,1.0
2017-12-31 15:19:34.241,20.8,23.5,0.0,1.0
2017-12-31 15:22:04.246,20.8,23.6,0.0,1.0
2017-12-31 15:24:04.246,20.8,23.8,0.0,1.0
2017-12-31 15:26:34.241,20.8,23.9,0.0,1.0
2017-12-31 15:30:04.241,20.8,24.1,0.0,1.0
2017-12-31 15:35:04.248,20.8,24.2,0.0,1.0
2017-12-31 15:38:04.243,20.8,24.3,0.0,1.0
2017-12-31 15:40:34.241,20.8,24.2,0.0,1.0
2017-12-31 15:45:04.241,20.8,24.3,0.0,1.0
2017-12-31 15:51:34.244,20.8,24.4,0.0,1.0
2017-12-31 15:54:04.246,20.8,24.3,0.0,1.0
2017-12-31 15:56:04.241,20.8,24.3,0.0,1.0
2017-12-31 15:57:04.245,20.8,24.2,0.0,1.0
2017-12-31 15:58:04.241,20.8,24.0,0.0,1.0
2017-12-31 16:00:04.244,20.8,23.9,0.0,1.0
