ts,ref_temp,real_temp,balcony,cabine
07:04.2,22.5,23,1,1
26:04.2,22.5,23.1,1,1
40:04.2,22.5,23.3,1,1
42:34.2,22.5,23.1,1,1
48:34.2,22.5,23.1,1,1
53:04.2,22.5,23,1,1
59:04.2,22.5,22.9,1,1
07:04.2,22.5,22.8,1,1
18:04.2,22.5,22.6,1,1
37:34.2,22.5,22.6,1,0
42:04.2,22.5,22.5,1,0
43:34.2,22.5,22.6,1,0
56:04.2,22.5,22.8,1,0
12:04.2,22.5,22.7,1,0
35:04.2,22.5,22.5,1,0
35:34.2,22.5,22.8,1,0
38:04.2,22.5,22.8,1,1
39:04.2,22.5,22.6,1,1
45:34.2,22.5,22.8,1,1
03:04.2,22.5,22.6,1,1
48:04.2,22.5,22.6,1,0
01:04.2,22.5,22.5,1,0
17:34.2,22.5,22.5,1,0
26:04.2,22.5,22.4,1,0
28:04.2,22.5,22.5,1,0
31:04.2,22.5,22.6,1,0
33:34.2,22.5,22.8,1,0
39:04.2,22.5,22.9,1,0
45:04.2,22.5,23,1,0
53:04.2,22.5,23.2,1,0
55:34.2,22.5,23.3,1,0
59:34.2,22.5,23.4,1,0
02:04.2,22.5,23.5,1,0
03:34.2,22.5,23.7,1,0
13:34.2,22.5,23.6,1,0
22:34.2,22.5,23.4,1,0
02:34.2,23.1,23.3,1,0
07:34.2,23.1,23.4,1,0
09:34.2,23.1,23.3,1,0
11:34.2,23.1,23.2,1,0
14:34.2,23.1,23.1,1,0
18:04.2,23.1,22.9,1,0
21:34.2,23.1,22.8,1,0
25:04.2,23.1,22.6,1,0
28:34.2,23.1,22.5,1,0
33:34.2,23.1,22.4,1,0
37:04.2,23.1,22.2,1,0
40:04.2,23.1,22.1,1,0
43:34.2,23.1,22,1,0
49:34.2,23.1,21.8,1,0
52:34.3,23.1,21.7,1,0
56:04.2,23.1,21.6,1,0
00:34.2,23.1,21.5,1,0
02:04.2,23.1,21.3,1,0
09:04.3,23.1,21.5,1,0
37:04.2,23.1,21.3,1,0
48:04.2,23.1,21.5,1,0
21:04.2,23.1,21.5,1,0
22:04.2,23.1,21.5,0,0
26:04.2,23.1,21.5,1,0
27:04.2,23.1,21.5,0,0
53:34.2,23.1,21.5,1,0
14:34.2,20.8,21.3,0,1
15:34.2,20.8,23.1,0,1
16:04.2,20.8,23.1,0,1
16:34.2,20.8,23.3,0,1
18:04.2,20.8,23.4,0,1
19:34.2,20.8,23.5,0,1
22:04.2,20.8,23.6,0,1
24:04.2,20.8,23.8,0,1
26:34.2,20.8,23.9,0,1
30:04.2,20.8,24.1,0,1
35:04.2,20.8,24.2,0,1
38:04.2,20.8,24.3,0,1
40:34.2,20.8,24.2,0,1
45:04.2,20.8,24.3,0,1
51:34.2,20.8,24.4,0,1
54:04.2,20.8,24.3,0,1
56:04.2,20.8,24.3,0,1
57:04.2,20.8,24.2,0,1
58:04.2,20.8,24,0,1
00:04.2,20.8,23.9,0,1
02:04.2,20.8,23.8,0,1
04:04.2,20.8,23.7,0,1
06:34.2,20.8,23.5,0,1
08:34.2,20.8,23.3,0,1
09:04.2,20.8,23.3,0,0
20:34.2,20.8,23.3,0,0
22:04.2,20.8,23.2,0,0
22:34.2,20.8,23.2,1,0
23:04.2,20.8,23.1,1,0
25:04.2,20.8,23.2,1,0
27:34.2,20.8,23.2,1,1
28:34.2,20.8,23,1,1
32:04.2,20.8,22.9,1,1
35:04.2,20.8,22.8,1,1
38:04.2,20.8,22.6,1,1
41:04.2,20.8,22.5,1,1
45:04.2,20.8,22.4,1,1
48:04.2,20.8,22.3,1,1
53:04.2,20.8,22.1,1,1
