ts,ts,min,max,mean,delta_t,integ,rmsd,doors
2017-12-31 01:06:00,2017-12-31 01:06:00,23.0,23.0,23.0,0.0,0.0,0.0,1.0
2017-12-31 01:24:00,2017-12-31 01:24:00,23.1,23.1,23.1,0.0,0.0,0.0,1.0
2017-12-31 01:39:00,2017-12-31 01:39:00,23.3,23.3,23.3,0.0,0.0,0.0,1.0
2017-12-31 01:42:00,2017-12-31 01:42:00,23.1,23.1,23.1,0.0,0.0,0.0,1.0
2017-12-31 01:48:00,2017-12-31 01:48:00,23.1,23.1,23.1,0.0,0.0,0.0,1.0
2017-12-31 01:51:00,2017-12-31 01:51:00,23.0,23.0,23.0,0.0,0.0,0.0,1.0
2017-12-31 01:57:00,2017-12-31 01:57:00,22.9,22.9,22.9,0.0,0.0,0.0,1.0
2017-12-31 02:06:00,2017-12-31 02:06:00,22.8,22.8,22.8,0.0,0.0,0.0,1.0
2017-12-31 02:18:00,2017-12-31 02:18:00,22.6,22.6,22.6,0.0,0.0,0.0,1.0
2017-12-31 02:36:00,2017-12-31 02:36:00,22.6,22.6,22.6,0.0,0.0,0.0,1.0
2017-12-31 02:42:00,2017-12-31 02:42:00,22.5,22.6,22.55,0.0,2.2550000000000323,0.10000000000000142,1.0
2017-12-31 02:54:00,2017-12-31 02:54:00,22.8,22.8,22.8,0.0,0.0,0.0,1.0
2017-12-31 03:12:00,2017-12-31 03:12:00,22.7,22.7,22.7,0.0,0.0,0.0,1.0
2017-12-31 03:33:00,2017-12-31 03:33:00,22.5,22.8,22.65,0.0,6.795000000000017,0.3000000000000007,1.0
2017-12-31 03:36:00,2017-12-31 03:36:00,22.8,22.8,22.8,0.0,0.0,0.0,1.0
2017-12-31 03:39:00,2017-12-31 03:39:00,22.6,22.6,22.6,0.0,0.0,0.0,1.0
2017-12-31 03:45:00,2017-12-31 03:45:00,22.8,22.8,22.8,0.0,0.0,0.0,1.0
2017-12-31 04:03:00,2017-12-31 04:03:00,22.6,22.6,22.6,0.0,0.0,0.0,1.0
2017-12-31 04:48:00,2017-12-31 04:48:00,22.6,22.6,22.6,0.0,0.0,0.0,1.0
2017-12-31 05:00:00,2017-12-31 05:00:00,22.5,22.5,22.5,0.0,0.0,0.0,1.0
2017-12-31 05:15:00,2017-12-31 05:15:00,22.5,22.5,22.5,0.0,0.0,0.0,1.0
2017-12-31 05:24:00,2017-12-31 05:24:00,22.4,22.4,22.4,0.0,0.0,0.0,1.0
2017-12-31 05:27:00,2017-12-31 05:27:00,22.5,22.5,22.5,0.0,0.0,0.0,1.0
2017-12-31 05:30:00,2017-12-31 05:30:00,22.6,22.6,22.6,0.0,0.0,0.0,1.0
2017-12-31 05:33:00,2017-12-31 05:33:00,22.8,22.8,22.8,0.0,0.0,0.0,1.0
2017-12-31 05:39:00,2017-12-31 05:39:00,22.9,22.9,22.9,0.0,0.0,0.0,1.0
2017-12-31 05:45:00,2017-12-31 05:45:00,23.0,23.0,23.0,0.0,0.0,0.0,1.0
2017-12-31 05:51:00,2017-12-31 05:51:00,23.2,23.2,23.2,0.0,0.0,0.0,1.0
2017-12-31 05:54:00,2017-12-31 05:54:00,23.3,23.3,23.3,0.0,0.0,0.0,1.0
2017-12-31 05:57:00,2017-12-31 05:57:00,23.4,23.4,23.4,0.0,0.0,0.0,1.0
2017-12-31 06:00:00,2017-12-31 06:00:00,23.5,23.5,23.5,0.0,0.0,0.0,1.0
2017-12-31 06:03:00,2017-12-31 06:03:00,23.7,23.7,23.7,0.0,0.0,0.0,1.0
2017-12-31 06:12:00,2017-12-31 06:12:00,23.6,23.6,23.6,0.0,0.0,0.0,1.0
2017-12-31 06:21:00,2017-12-31 06:21:00,23.4,23.4,23.4,0.0,0.0,0.0,1.0
2017-12-31 07:00:00,2017-12-31 07:00:00,23.3,23.3,23.3,0.0,0.0,0.0,1.0
2017-12-31 07:06:00,2017-12-31 07:06:00,23.4,23.4,23.4,0.0,0.0,0.0,1.0
2017-12-31 07:09:00,2017-12-31 07:09:00,23.2,23.3,23.25,0.0,2.325000000000033,0.10000000000000142,1.0
2017-12-31 07:12:00,2017-12-31 07:12:00,23.1,23.1,23.1,0.0,0.0,0.0,1.0
2017-12-31 07:18:00,2017-12-31 07:18:00,22.9,22.9,22.9,0.0,0.0,0.0,1.0
2017-12-31 07:21:00,2017-12-31 07:21:00,22.8,22.8,22.8,0.0,0.0,0.0,1.0
2017-12-31 07:24:00,2017-12-31 07:24:00,22.6,22.6,22.6,0.0,0.0,0.0,1.0
2017-12-31 07:27:00,2017-12-31 07:27:00,22.5,22.5,22.5,0.0,0.0,0.0,1.0
2017-12-31 07:33:00,2017-12-31 07:33:00,22.4,22.4,22.4,0.0,0.0,0.0,1.0
2017-12-31 07:36:00,2017-12-31 07:36:00,22.2,22.2,22.2,0.0,0.0,0.0,1.0
2017-12-31 07:39:00,2017-12-31 07:39:00,22.1,22.1,22.1,0.0,0.0,0.0,1.0
2017-12-31 07:42:00,2017-12-31 07:42:00,22.0,22.0,22.0,0.0,0.0,0.0,1.0
2017-12-31 07:48:00,2017-12-31 07:48:00,21.8,21.8,21.8,0.0,0.0,0.0,1.0
2017-12-31 07:51:00,2017-12-31 07:51:00,21.7,21.7,21.7,0.0,0.0,0.0,1.0
2017-12-31 07:54:00,2017-12-31 07:54:00,21.6,21.6,21.6,0.0,0.0,0.0,1.0
2017-12-31 08:00:00,2017-12-31 08:00:00,21.5,21.5,21.5,0.0,0.0,0.0,1.0
2017-12-31 09:00:00,2017-12-31 09:00:00,21.3,21.3,21.3,0.0,0.0,0.0,1.0
2017-12-31 09:09:00,2017-12-31 09:09:00,21.5,21.5,21.5,0.0,0.0,0.0,1.0
2017-12-31 09:36:00,2017-12-31 09:36:00,21.3,21.3,21.3,0.0,0.0,0.0,1.0
2017-12-31 09:48:00,2017-12-31 09:48:00,21.5,21.5,21.5,0.0,0.0,0.0,1.0
2017-12-31 14:21:00,2017-12-31 14:21:00,21.5,21.5,21.5,0.0,0.0,0.0,0.5
2017-12-31 14:24:00,2017-12-31 14:24:00,21.5,21.5,21.5,0.0,0.0,0.0,1.0
2017-12-31 14:27:00,2017-12-31 14:27:00,21.5,21.5,21.5,0.0,0.0,0.0,0.0
2017-12-31 14:51:00,2017-12-31 14:51:00,21.5,21.5,21.5,0.0,0.0,0.0,1.0
2017-12-31 15:12:00,2017-12-31 15:12:00,21.3,21.3,21.3,0.0,0.0,0.0,0.0
2017-12-31 15:15:00,2017-12-31 15:15:00,23.1,23.3,23.166666666666668,0.0,4.639999999999984,0.1999999999999993,0.0
2017-12-31 15:18:00,2017-12-31 15:18:00,23.4,23.5,23.45,0.0,2.345000000000033,0.10000000000000142,0.0
2017-12-31 15:21:00,2017-12-31 15:21:00,23.6,23.6,23.6,0.0,0.0,0.0,0.0
2017-12-31 15:24:00,2017-12-31 15:24:00,23.8,23.9,23.85,0.0,2.384999999999949,0.09999999999999787,0.0
2017-12-31 15:30:00,2017-12-31 15:30:00,24.1,24.1,24.1,0.0,0.0,0.0,0.0
2017-12-31 15:33:00,2017-12-31 15:33:00,24.2,24.2,24.2,0.0,0.0,0.0,0.0
2017-12-31 15:36:00,2017-12-31 15:36:00,24.3,24.3,24.3,0.0,0.0,0.0,0.0
2017-12-31 15:39:00,2017-12-31 15:39:00,24.2,24.2,24.2,0.0,0.0,0.0,0.0
2017-12-31 15:45:00,2017-12-31 15:45:00,24.3,24.3,24.3,0.0,0.0,0.0,0.0
2017-12-31 15:51:00,2017-12-31 15:51:00,24.4,24.4,24.4,0.0,0.0,0.0,0.0
2017-12-31 15:54:00,2017-12-31 15:54:00,24.3,24.3,24.3,0.0,0.0,0.0,0.0
2017-12-31 15:57:00,2017-12-31 15:57:00,24.0,24.2,24.1,0.0,4.819999999999983,0.1999999999999993,0.0
2017-12-31 16:00:00,2017-12-31 16:00:00,23.8,23.9,23.85,0.0,2.384999999999949,0.09999999999999787,0.0
2017-12-31 16:03:00,2017-12-31 16:03:00,23.7,23.7,23.7,0.0,0.0,0.0,0.0
2017-12-31 16:06:00,2017-12-31 16:06:00,23.3,23.5,23.4,0.0,4.679999999999983,0.1999999999999993,0.0
2017-12-31 16:09:00,2017-12-31 16:09:00,23.3,23.3,23.3,0.0,0.0,0.0,0.0
2017-12-31 16:18:00,2017-12-31 16:18:00,23.3,23.3,23.3,0.0,0.0,0.0,0.0
2017-12-31 16:21:00,2017-12-31 16:21:00,23.1,23.2,23.166666666666668,0.0,2.3149999999999507,0.09999999999999787,0.6666666666666666
2017-12-31 16:24:00,2017-12-31 16:24:00,23.2,23.2,23.2,0.0,0.0,0.0,1.0
2017-12-31 16:27:00,2017-12-31 16:27:00,23.0,23.2,23.1,0.0,4.619999999999984,0.1999999999999993,1.0
2017-12-31 16:30:00,2017-12-31 16:30:00,22.9,22.9,22.9,0.0,0.0,0.0,1.0
2017-12-31 16:33:00,2017-12-31 16:33:00,22.8,22.8,22.8,0.0,0.0,0.0,1.0
2017-12-31 16:36:00,2017-12-31 16:36:00,22.6,22.6,22.6,0.0,0.0,0.0,1.0
2017-12-31 16:39:00,2017-12-31 16:39:00,22.5,22.5,22.5,0.0,0.0,0.0,1.0
2017-12-31 16:45:00,2017-12-31 16:45:00,22.4,22.4,22.4,0.0,0.0,0.0,1.0
2017-12-31 16:48:00,2017-12-31 16:48:00,22.3,22.3,22.3,0.0,0.0,0.0,1.0
2017-12-31 16:51:00,2017-12-31 16:51:00,22.1,22.1,22.1,0.0,0.0,0.0,1.0
2017-12-31 16:57:00,2017-12-31 16:57:00,22.0,22.0,22.0,0.0,0.0,0.0,1.0
2017-12-31 17:00:00,2017-12-31 17:00:00,21.9,21.9,21.9,0.0,0.0,0.0,1.0
2017-12-31 17:06:00,2017-12-31 17:06:00,21.8,21.8,21.8,0.0,0.0,0.0,1.0
2017-12-31 17:12:00,2017-12-31 17:12:00,21.6,21.6,21.6,0.0,0.0,0.0,1.0
2017-12-31 17:18:00,2017-12-31 17:18:00,21.6,21.6,21.6,0.0,0.0,0.0,1.0
2017-12-31 17:21:00,2017-12-31 17:21:00,21.5,21.5,21.5,0.0,0.0,0.0,1.0
2017-12-31 17:24:00,2017-12-31 17:24:00,21.6,21.7,21.65,0.0,2.164999999999954,0.09999999999999787,1.0
2017-12-31 17:30:00,2017-12-31 17:30:00,21.8,21.8,21.8,0.0,0.0,0.0,1.0
2017-12-31 17:39:00,2017-12-31 17:39:00,21.7,21.7,21.7,0.0,0.0,0.0,1.0
2017-12-31 17:48:00,2017-12-31 17:48:00,21.6,21.6,21.6,0.0,0.0,0.0,1.0
2017-12-31 17:54:00,2017-12-31 17:54:00,21.5,21.5,21.5,0.0,0.0,0.0,1.0
2017-12-31 18:00:00,2017-12-31 18:00:00,21.5,21.5,21.5,0.0,0.0,0.0,1.0
2017-12-31 18:30:00,2017-12-31 18:30:00,21.3,21.3,21.3,0.0,0.0,0.0,1.0
2017-12-31 18:39:00,2017-12-31 18:39:00,21.4,21.4,21.4,0.0,0.0,0.0,1.0
2017-12-31 18:45:00,2017-12-31 18:45:00,21.4,21.4,21.4,0.0,0.0,0.0,1.0
2017-12-31 18:48:00,2017-12-31 18:48:00,21.3,21.3,21.3,0.0,0.0,0.0,1.0
2017-12-31 18:51:00,2017-12-31 18:51:00,21.4,21.4,21.4,0.0,0.0,0.0,1.0
2017-12-31 18:54:00,2017-12-31 18:54:00,21.6,21.6,21.6,0.0,0.0,0.0,1.0
2017-12-31 18:57:00,2017-12-31 18:57:00,21.7,21.7,21.7,0.0,0.0,0.0,1.0
2017-12-31 19:00:00,2017-12-31 19:00:00,21.8,22.1,21.96666666666667,0.0,6.585000000000017,0.3000000000000007,1.0
2017-12-31 19:06:00,2017-12-31 19:06:00,22.3,22.3,22.3,0.0,0.0,0.0,1.0
2017-12-31 19:09:00,2017-12-31 19:09:00,22.4,22.4,22.4,0.0,0.0,0.0,1.0
2017-12-31 19:12:00,2017-12-31 19:12:00,22.5,22.5,22.5,0.0,0.0,0.0,1.0
2017-12-31 19:18:00,2017-12-31 19:18:00,22.6,22.6,22.6,0.0,0.0,0.0,1.0
2017-12-31 19:30:00,2017-12-31 19:30:00,22.8,22.8,22.8,0.0,0.0,0.0,1.0
2017-12-31 19:51:00,2017-12-31 19:51:00,22.9,22.9,22.9,0.0,0.0,0.0,1.0
2017-12-31 20:03:00,2017-12-31 20:03:00,23.0,23.0,23.0,0.0,0.0,0.0,1.0
2017-12-31 20:09:00,2017-12-31 20:09:00,23.0,23.0,23.0,0.0,0.0,0.0,1.0
2017-12-31 20:12:00,2017-12-31 20:12:00,23.1,23.1,23.1,0.0,0.0,0.0,1.0
2017-12-31 20:15:00,2017-12-31 20:15:00,23.0,23.0,23.0,0.0,0.0,0.0,1.0
2017-12-31 20:18:00,2017-12-31 20:18:00,22.9,22.9,22.9,0.0,0.0,0.0,1.0
2017-12-31 20:27:00,2017-12-31 20:27:00,22.8,22.8,22.8,0.0,0.0,0.0,1.0
2017-12-31 21:42:00,2017-12-31 21:42:00,22.6,22.6,22.6,0.0,0.0,0.0,1.0
2017-12-31 23:06:00,2017-12-31 23:06:00,22.6,22.6,22.6,0.0,0.0,0.0,1.0
2017-12-31 23:12:00,2017-12-31 23:12:00,22.5,22.5,22.5,0.0,0.0,0.0,1.0
2017-12-31 23:15:00,2017-12-31 23:15:00,22.6,22.6,22.6,0.0,0.0,0.0,1.0
2017-12-31 23:24:00,2017-12-31 23:24:00,22.7,22.7,22.7,0.0,0.0,0.0,1.0
2017-12-31 23:36:00,2017-12-31 23:36:00,22.8,22.8,22.8,0.0,0.0,0.0,1.0
2017-12-31 23:51:00,2017-12-31 23:51:00,23.0,23.0,23.0,0.0,0.0,0.0,1.0
2018-01-01 00:03:00,2018-01-01 00:03:00,23.1,23.1,23.1,0.0,0.0,0.0,1.0
2018-01-01 00:57:00,2018-01-01 00:57:00,23.0,23.0,23.0,0.0,0.0,0.0,1.0
2018-01-01 01:03:00,2018-01-01 01:03:00,23.1,23.1,23.1,0.0,0.0,0.0,1.0
2018-01-01 01:42:00,2018-01-01 01:42:00,23.0,23.0,23.0,0.0,0.0,0.0,1.0
2018-01-01 01:45:00,2018-01-01 01:45:00,23.1,23.1,23.1,0.0,0.0,0.0,1.0
2018-01-01 01:51:00,2018-01-01 01:51:00,23.1,23.2,23.15,0.0,2.3149999999999507,0.09999999999999787,1.0
2018-01-01 01:54:00,2018-01-01 01:54:00,23.1,23.1,23.1,0.0,0.0,0.0,1.0
2018-01-01 02:03:00,2018-01-01 02:03:00,23.0,23.0,23.0,0.0,0.0,0.0,1.0
2018-01-01 02:09:00,2018-01-01 02:09:00,22.8,22.8,22.8,0.0,0.0,0.0,1.0
2018-01-01 02:36:00,2018-01-01 02:36:00,22.7,22.7,22.7,0.0,0.0,0.0,1.0
2018-01-01 03:00:00,2018-01-01 03:00:00,22.7,22.7,22.7,0.0,0.0,0.0,1.0
2018-01-01 03:03:00,2018-01-01 03:03:00,22.6,22.6,22.6,0.0,0.0,0.0,1.0
2018-01-01 03:06:00,2018-01-01 03:06:00,22.7,22.7,22.7,0.0,0.0,0.0,1.0
2018-01-01 03:09:00,2018-01-01 03:09:00,22.8,22.8,22.8,0.0,0.0,0.0,1.0
2018-01-01 03:12:00,2018-01-01 03:12:00,23.0,23.0,23.0,0.0,0.0,0.0,1.0
2018-01-01 03:21:00,2018-01-01 03:21:00,23.1,23.3,23.200000000000003,0.0,4.639999999999984,0.1999999999999993,1.0
2018-01-01 03:27:00,2018-01-01 03:27:00,23.1,23.1,23.1,0.0,0.0,0.0,1.0
2018-01-01 03:33:00,2018-01-01 03:33:00,23.0,23.0,23.0,0.0,0.0,0.0,1.0
2018-01-01 03:39:00,2018-01-01 03:39:00,22.9,22.9,22.9,0.0,0.0,0.0,1.0
2018-01-01 03:45:00,2018-01-01 03:45:00,22.8,22.8,22.8,0.0,0.0,0.0,1.0
2018-01-01 04:00:00,2018-01-01 04:00:00,22.6,22.6,22.6,0.0,0.0,0.0,1.0
2018-01-01 04:03:00,2018-01-01 04:03:00,22.8,22.8,22.8,0.0,0.0,0.0,1.0
2018-01-01 04:06:00,2018-01-01 04:06:00,22.8,22.8,22.8,0.0,0.0,0.0,1.0
2018-01-01 04:15:00,2018-01-01 04:15:00,22.9,22.9,22.9,0.0,0.0,0.0,1.0
2018-01-01 04:30:00,2018-01-01 04:30:00,22.8,22.8,22.8,0.0,0.0,0.0,1.0
2018-01-01 05:12:00,2018-01-01 05:12:00,22.6,22.6,22.6,0.0,0.0,0.0,1.0
2018-01-01 05:21:00,2018-01-01 05:21:00,22.6,22.6,22.6,0.0,0.0,0.0,1.0
2018-01-01 05:30:00,2018-01-01 05:30:00,22.5,22.5,22.5,0.0,0.0,0.0,1.0
