ts,ts,min,max,mean,delta_t,integ,rmsd,doors,cabine
2017-12-31 01:05:00,2017-12-31 01:05:00,23.0,23.0,23.0,0.0,0.0,0.0,1.0,1.0
2017-12-31 01:25:00,2017-12-31 01:25:00,23.1,23.1,23.1,0.0,0.0,0.0,1.0,1.0
2017-12-31 01:40:00,2017-12-31 01:40:00,23.1,23.3,23.200000000000003,0.0,4.639999999999984,0.1999999999999993,1.0,1.0
2017-12-31 01:45:00,2017-12-31 01:45:00,23.1,23.1,23.1,0.0,0.0,0.0,1.0,1.0
2017-12-31 01:50:00,2017-12-31 01:50:00,23.0,23.0,23.0,0.0,0.0,0.0,1.0,1.0
2017-12-31 01:55:00,2017-12-31 01:55:00,22.9,22.9,22.9,0.0,0.0,0.0,1.0,1.0
2017-12-31 02:05:00,2017-12-31 02:05:00,22.8,22.8,22.8,0.0,0.0,0.0,1.0,1.0
2017-12-31 02:15:00,2017-12-31 02:15:00,22.6,22.6,22.6,0.0,0.0,0.0,1.0,1.0
2017-12-31 02:35:00,2017-12-31 02:35:00,22.6,22.6,22.6,0.0,0.0,0.0,1.0,0.0
2017-12-31 02:40:00,2017-12-31 02:40:00,22.5,22.6,22.55,0.0,2.2550000000000323,0.10000000000000142,1.0,0.0
2017-12-31 02:55:00,2017-12-31 02:55:00,22.8,22.8,22.8,0.0,0.0,0.0,1.0,0.0
2017-12-31 03:10:00,2017-12-31 03:10:00,22.7,22.7,22.7,0.0,0.0,0.0,1.0,0.0
2017-12-31 03:35:00,2017-12-31 03:35:00,22.5,22.8,22.674999999999997,0.0,6.795000000000017,0.3000000000000007,1.0,1.0
2017-12-31 03:45:00,2017-12-31 03:45:00,22.8,22.8,22.8,0.0,0.0,0.0,1.0,1.0
2017-12-31 04:00:00,2017-12-31 04:00:00,22.6,22.6,22.6,0.0,0.0,0.0,1.0,1.0
2017-12-31 04:45:00,2017-12-31 04:45:00,22.6,22.6,22.6,0.0,0.0,0.0,1.0,0.0
2017-12-31 05:00:00,2017-12-31 05:00:00,22.5,22.5,22.5,0.0,0.0,0.0,1.0,0.0
2017-12-31 05:15:00,2017-12-31 05:15:00,22.5,22.5,22.5,0.0,0.0,0.0,1.0,0.0
2017-12-31 05:25:00,2017-12-31 05:25:00,22.4,22.5,22.45,0.0,2.2450000000000316,0.10000000000000142,1.0,0.0
2017-12-31 05:30:00,2017-12-31 05:30:00,22.6,22.8,22.700000000000003,0.0,4.539999999999985,0.1999999999999993,1.0,0.0
2017-12-31 05:35:00,2017-12-31 05:35:00,22.9,22.9,22.9,0.0,0.0,0.0,1.0,0.0
2017-12-31 05:45:00,2017-12-31 05:45:00,23.0,23.0,23.0,0.0,0.0,0.0,1.0,0.0
2017-12-31 05:50:00,2017-12-31 05:50:00,23.2,23.2,23.2,0.0,0.0,0.0,1.0,0.0
2017-12-31 05:55:00,2017-12-31 05:55:00,23.3,23.4,23.35,0.0,2.3349999999999502,0.09999999999999787,1.0,0.0
2017-12-31 06:00:00,2017-12-31 06:00:00,23.5,23.7,23.6,0.0,4.719999999999984,0.1999999999999993,1.0,0.0
2017-12-31 06:10:00,2017-12-31 06:10:00,23.6,23.6,23.6,0.0,0.0,0.0,1.0,0.0
2017-12-31 06:20:00,2017-12-31 06:20:00,23.4,23.4,23.4,0.0,0.0,0.0,1.0,0.0
2017-12-31 07:00:00,2017-12-31 07:00:00,23.3,23.3,23.3,0.0,0.0,0.0,1.0,0.0
2017-12-31 07:05:00,2017-12-31 07:05:00,23.3,23.4,23.35,0.0,2.3349999999999502,0.09999999999999787,1.0,0.0
2017-12-31 07:10:00,2017-12-31 07:10:00,23.1,23.2,23.15,0.0,2.3149999999999507,0.09999999999999787,1.0,0.0
2017-12-31 07:15:00,2017-12-31 07:15:00,22.9,22.9,22.9,0.0,0.0,0.0,1.0,0.0
2017-12-31 07:20:00,2017-12-31 07:20:00,22.8,22.8,22.8,0.0,0.0,0.0,1.0,0.0
2017-12-31 07:25:00,2017-12-31 07:25:00,22.5,22.6,22.55,0.0,2.2550000000000323,0.10000000000000142,1.0,0.0
2017-12-31 07:30:00,2017-12-31 07:30:00,22.4,22.4,22.4,0.0,0.0,0.0,1.0,0.0
2017-12-31 07:35:00,2017-12-31 07:35:00,22.2,22.2,22.2,0.0,0.0,0.0,1.0,0.0
2017-12-31 07:40:00,2017-12-31 07:40:00,22.0,22.1,22.05,0.0,2.2050000000000316,0.10000000000000142,1.0,0.0
2017-12-31 07:45:00,2017-12-31 07:45:00,21.8,21.8,21.8,0.0,0.0,0.0,1.0,0.0
2017-12-31 07:50:00,2017-12-31 07:50:00,21.7,21.7,21.7,0.0,0.0,0.0,1.0,0.0
