ts,value
2017-12-31 01:07:04.245,23.0
2017-12-31 01:26:04.250,23.1
2017-12-31 01:40:04.241,23.3
2017-12-31 01:42:34.241,23.1
2017-12-31 01:53:04.242,23.0
2017-12-31 01:59:04.246,22.9
2017-12-31 02:07:04.245,22.8
2017-12-31 02:18:04.241,22.6
2017-12-31 02:42:04.246,22.5
2017-12-31 02:43:34.241,22.6
2017-12-31 02:56:04.241,22.8
2017-12-31 03:12:04.244,22.7
2017-12-31 03:35:04.241,22.5
2017-12-31 03:35:34.241,22.8
2017-12-31 03:39:04.242,22.6
2017-12-31 03:45:34.245,22.8
2017-12-31 04:03:04.241,22.6
2017-12-31 05:01:04.246,22.5
2017-12-31 05:26:04.246,22.4
2017-12-31 05:28:04.241,22.5
2017-12-31 05:31:04.241,22.6
2017-12-31 05:33:34.244,22.8
2017-12-31 05:39:04.246,22.9
2017-12-31 05:45:04.241,23.0
2017-12-31 05:53:04.241,23.2
2017-12-31 05:55:34.245,23.3
2017-12-31 05:59:34.241,23.4
2017-12-31 06:02:04.241,23.5
2017-12-31 06:03:34.244,23.7
2017-12-31 06:13:34.245,23.6
2017-12-31 06:22:34.245,23.4
2017-12-31 07:02:34.245,23.3
2017-12-31 07:07:34.245,23.4
2017-12-31 07:09:34.246,23.3
2017-12-31 07:11:34.244,23.2
2017-12-31 07:14:34.246,23.1
2017-12-31 07:18:04.241,22.9
2017-12-31 07:21:34.241,22.8
2017-12-31 07:25:04.241,22.6
2017-12-31 07:28:34.241,22.5
2017-12-31 07:33:34.244,22.4
2017-12-31 07:37:04.245,22.2
2017-12-31 07:40:04.246,22.1
2017-12-31 07:43:34.244,22.0
2017-12-31 07:49:34.245,21.8
2017-12-31 07:52:34.251,21.7
2017-12-31 07:56:04.245,21.6
2017-12-31 08:00:34.245,21.5
2017-12-31 09:02:04.249,21.3
2017-12-31 09:09:04.268,21.5
2017-12-31 09:37:04.249,21.3
2017-12-31 09:48:04.246,21.5
2017-12-31 15:14:34.241,21.3
2017-12-31 15:15:04.241,1.79769e+308
2017-12-31 15:15:34.241,23.1
2017-12-31 15:16:04.241,23.1
2017-12-31 15:16:34.245,23.3
2017-12-31 15:18:04.241,23.4
2017-12-31 15:19:34.241,23.5
2017-12-31 15:22:04.246,23.6
2017-12-31 15:24:04.246,23.8
2017-12-31 15:26:34.241,23.9
2017-12-31 15:30:04.241,24.1
2017-12-31 15:35:04.248,24.2
2017-12-31 15:38:04.243,24.3
2017-12-31 15:40:34.241,24.2
2017-12-31 15:45:04.241,24.3
2017-12-31 15:51:34.244,24.4
2017-12-31 15:54:04.246,24.3
2017-12-31 15:57:04.245,24.2
2017-12-31 15:58:04.241,24.0
2017-12-31 16:00:04.244,23.9
2017-12-31 16:02:04.240,23.8
2017-12-31 16:04:04.244,23.7
2017-12-31 16:06:34.241,23.5
2017-12-31 16:08:34.243,23.3
2017-12-31 16:22:04.241,23.2
2017-12-31 16:23:04.241,23.1
2017-12-31 16:25:04.241,23.2
2017-12-31 16:28:34.242,23.0
2017-12-31 16:32:04.241,22.9
2017-12-31 16:35:04.241,22.8
2017-12-31 16:38:04.241,22.6
2017-12-31 16:41:04.244,22.5
2017-12-31 16:45:04.241,22.4
2017-12-31 16:48:04.241,22.3
2017-12-31 16:53:04.241,22.1
2017-12-31 16:57:34.241,22.0
2017-12-31 17:02:34.241,21.9
2017-12-31 17:08:04.245,21.8
2017-12-31 17:13:04.241,21.6
2017-12-31 17:23:04.247,21.5
2017-12-31 17:24:04.241,21.6
2017-12-31 17:26:04.243,21.7
2017-12-31 17:32:04.246,21.8
2017-12-31 17:41:04.241,21.7
2017-12-31 17:48:04.245,21.6
2017-12-31 17:56:04.245,21.5
2017-12-31 18:31:34.241,21.3
2017-12-31 18:39:04.246,21.4
2017-12-31 18:48:04.246,21.3
2017-12-31 18:53:34.241,21.4
2017-12-31 18:55:34.242,21.6
2017-12-31 18:57:34.246,21.7
2017-12-31 19:00:04.241,21.8
2017-12-31 19:00:34.245,22.0
2017-12-31 19:01:34.244,22.1
2017-12-31 19:07:04.241,22.3
2017-12-31 19:09:04.246,22.4
2017-12-31 19:12:04.241,22.5
2017-12-31 19:18:04.241,22.6
2017-12-31 19:30:34.241,22.8
2017-12-31 19:53:34.244,22.9
2017-12-31 20:04:04.246,23.0
2017-12-31 20:12:34.250,23.1
2017-12-31 20:17:04.241,23.0
2017-12-31 20:20:34.246,22.9
2017-12-31 20:28:34.244,22.8
2017-12-31 21:44:04.241,22.6
2017-12-31 23:12:34.241,22.5
2017-12-31 23:15:04.241,22.6
2017-12-31 23:24:34.246,22.7
2017-12-31 23:38:34.244,22.8
2017-12-31 23:52:34.246,23.0
2018-01-01 00:04:34.244,23.1
2018-01-01 00:57:34.245,23.0
2018-01-01 01:05:04.245,23.1
2018-01-01 01:42:34.245,23.0
2018-01-01 01:47:34.248,23.1
2018-01-01 01:52:04.245,23.2
2018-01-01 01:54:34.245,23.1
2018-01-01 02:05:34.241,23.0
2018-01-01 02:10:04.241,22.8
2018-01-01 02:36:04.246,22.7
2018-01-01 03:05:34.243,22.6
2018-01-01 03:07:34.241,22.7
2018-01-01 03:10:34.241,22.8
2018-01-01 03:14:34.245,23.0
2018-01-01 03:22:34.246,23.1
2018-01-01 03:23:34.241,23.3
2018-01-01 03:28:34.250,23.1
2018-01-01 03:33:04.241,23.0
2018-01-01 03:40:04.241,22.9
2018-01-01 03:46:04.242,22.8
2018-01-01 04:02:04.246,22.6
2018-01-01 04:03:34.243,22.8
2018-01-01 04:16:34.245,22.9
2018-01-01 04:30:04.241,22.8
2018-01-01 05:14:04.241,22.6
2018-01-01 05:30:04.244,22.5
2018-01-01 05:34:34.242,22.7
2018-01-01 05:37:04.241,22.8
2018-01-01 05:48:04.246,22.9
2018-01-01 17:17:04.241,23.0
2018-01-01 17:17:34.241,1.79769e+308
2018-01-01 17:18:34.268,23.9
2018-01-01 17:32:04.246,24.1
2018-01-01 17:34:34.245,24.0
2018-01-01 17:42:34.241,23.9
