ts,value
2017-12-31 00:02:04.246,23.6
2017-12-31 00:04:04.246,23.4
2017-12-31 00:10:04.241,23.3
2017-12-31 00:18:04.246,23.2
2017-12-31 00:28:04.241,23.1
2017-12-31 00:54:04.246,22.9
2017-12-31 01:20:04.241,22.8
2017-12-31 01:32:34.246,22.7
2017-12-31 01:35:04.241,22.5
2017-12-31 01:36:34.251,22.7
2017-12-31 01:40:04.241,22.8
2017-12-31 01:41:04.241,22.9
2017-12-31 01:51:34.241,23.0
2017-12-31 01:58:04.245,22.9
2017-12-31 02:14:04.241,22.8
2017-12-31 02:27:34.245,22.7
2017-12-31 02:31:04.246,22.8
2017-12-31 02:33:34.244,23.0
2017-12-31 02:37:04.241,23.1
2017-12-31 02:38:04.244,23.3
2017-12-31 02:41:34.241,23.4
2017-12-31 02:48:04.241,23.5
2017-12-31 02:52:04.241,23.4
2017-12-31 02:58:04.244,23.3
2017-12-31 03:12:04.244,23.1
2017-12-31 03:40:34.241,23.0
2017-12-31 03:58:04.241,22.9
2017-12-31 04:32:04.241,22.8
2017-12-31 04:59:04.243,22.6
2017-12-31 05:00:34.243,22.8
2017-12-31 05:20:04.241,22.9
2017-12-31 05:43:34.244,22.8
2017-12-31 06:42:04.244,22.6
2017-12-31 06:55:34.241,22.5
2017-12-31 07:22:34.245,22.7
2017-12-31 09:30:04.243,22.5
2017-12-31 09:40:04.251,22.7
2017-12-31 10:08:04.246,22.5
2017-12-31 10:14:04.241,22.7
2017-12-31 15:14:34.241,22.5
2017-12-31 15:15:34.241,23.6
2017-12-31 15:16:34.245,23.6
2017-12-31 15:26:04.245,23.8
2017-12-31 15:32:34.249,23.9
2017-12-31 15:35:04.248,23.8
2017-12-31 15:39:34.241,23.7
2017-12-31 15:47:04.241,23.5
2017-12-31 15:55:34.241,23.4
2017-12-31 15:59:04.242,23.3
2017-12-31 16:00:34.245,23.1
2017-12-31 16:05:04.244,23.3
2017-12-31 16:10:04.243,23.4
2017-12-31 16:16:04.241,23.5
2017-12-31 16:19:34.246,23.4
2017-12-31 16:23:34.245,23.3
2017-12-31 16:27:34.245,23.1
2017-12-31 16:31:04.245,23.0
2017-12-31 16:34:04.241,23.2
2017-12-31 16:38:34.246,23.0
2017-12-31 16:43:34.241,22.9
2017-12-31 16:48:34.242,22.8
2017-12-31 16:57:34.241,22.6
2017-12-31 17:03:34.244,22.5
2017-12-31 17:12:34.241,22.4
2017-12-31 17:34:34.262,22.3
2017-12-31 18:26:04.241,22.4
2017-12-31 18:44:34.241,22.5
2017-12-31 18:50:04.241,22.4
2017-12-31 19:02:04.241,22.3
2017-12-31 19:12:34.245,22.4
2017-12-31 19:15:04.245,22.6
2017-12-31 19:19:34.246,22.7
2017-12-31 19:28:04.246,22.6
2017-12-31 19:32:04.241,22.5
2017-12-31 19:38:34.246,22.3
2017-12-31 19:57:04.241,22.2
2017-12-31 20:01:04.241,22.3
2017-12-31 20:03:04.246,22.5
2017-12-31 20:53:04.244,22.6
2017-12-31 21:20:34.241,22.5
2017-12-31 21:28:34.244,22.6
2017-12-31 21:34:34.245,22.8
2017-12-31 21:47:34.245,22.9
2017-12-31 21:59:34.241,23.0
2017-12-31 22:04:34.241,22.9
2017-12-31 22:11:04.245,23.0
2017-12-31 22:23:04.241,23.1
2017-12-31 22:24:04.246,23.3
2017-12-31 22:36:04.241,23.4
2017-12-31 22:38:34.243,23.3
2017-12-31 22:47:34.245,23.2
2017-12-31 22:49:34.241,23.1
2017-12-31 22:50:04.244,23.3
2017-12-31 22:57:34.241,23.4
2017-12-31 22:58:34.245,23.5
2017-12-31 23:00:34.241,23.4
2017-12-31 23:04:04.246,23.3
2017-12-31 23:13:34.246,23.1
2017-12-31 23:47:34.245,23.0
2017-12-31 23:53:04.244,23.1
2018-01-01 00:05:04.244,23.3
2018-01-01 00:11:34.241,23.4
2018-01-01 00:14:34.243,23.3
2018-01-01 00:17:34.242,23.1
2018-01-01 00:20:34.244,23.0
2018-01-01 00:30:34.241,22.8
2018-01-01 00:57:34.245,22.7
2018-01-01 01:24:34.243,22.8
2018-01-01 01:28:34.243,22.9
2018-01-01 01:47:34.248,22.8
2018-01-01 01:53:04.253,22.9
2018-01-01 02:05:34.241,22.8
2018-01-01 02:59:34.246,22.9
2018-01-01 03:04:34.241,22.8
2018-01-01 03:07:34.241,22.9
2018-01-01 03:09:34.241,23.0
2018-01-01 03:17:04.241,23.1
2018-01-01 03:19:04.247,23.3
2018-01-01 03:21:04.246,23.4
2018-01-01 03:27:34.250,23.5
2018-01-01 03:35:04.241,23.4
2018-01-01 03:37:34.241,23.5
2018-01-01 03:41:04.246,23.4
2018-01-01 03:43:34.241,23.3
2018-01-01 03:49:04.243,23.1
2018-01-01 03:51:04.241,23.0
2018-01-01 03:54:04.241,22.8
2018-01-01 04:12:34.241,22.7
2018-01-01 04:23:04.241,22.8
2018-01-01 04:37:04.244,23.0
2018-01-01 04:41:04.241,23.1
2018-01-01 04:53:34.244,23.0
2018-01-01 05:04:04.246,23.1
2018-01-01 05:20:04.241,23.0
2018-01-01 05:26:04.241,23.1
2018-01-01 05:42:34.241,23.0
2018-01-01 17:17:04.241,23.1
2018-01-01 17:18:34.268,22.4
2018-01-01 17:20:34.241,22.4
2018-01-01 17:25:04.241,22.5
2018-01-01 17:29:04.246,22.7
2018-01-01 17:38:04.241,22.8
2018-01-01 17:48:04.241,22.9
2018-01-01 17:55:04.243,23.0
2018-01-01 18:40:04.241,22.9
2018-01-01 18:43:34.246,23.0
2018-01-01 19:02:34.241,22.9
2018-01-01 19:04:34.246,23.0
2018-01-01 19:08:04.242,23.2
2018-01-01 19:13:04.241,23.3
2018-01-01 19:15:34.243,23.2
2018-01-01 19:25:34.245,23.1
2018-01-01 19:29:34.246,22.9
2018-01-01 19:33:04.241,22.8
2018-01-01 19:39:04.241,22.7
2018-01-01 19:45:04.241,22.6
2018-01-01 19:49:04.245,22.4
2018-01-01 20:04:04.245,22.3
2018-01-01 20:06:34.241,22.4
2018-01-01 20:08:04.240,22.6
2018-01-01 20:51:04.245,22.4
2018-01-01 21:03:04.246,22.6
2018-01-01 21:10:34.241,22.4
2018-01-01 21:26:04.245,22.3
2018-01-01 21:29:04.241,22.4
2018-01-01 21:31:04.241,22.6
2018-01-01 21:33:04.241,22.7
2018-01-01 21:36:34.246,22.8
2018-01-01 21:37:34.241,23.0
2018-01-01 22:04:04.241,23.1
2018-01-01 22:06:04.246,23.0
2018-01-01 22:11:34.246,22.9
2018-01-01 22:21:04.245,22.7
2018-01-01 22:25:04.241,22.6
2018-01-01 22:27:04.244,22.8
2018-01-01 22:28:34.241,22.9
2018-01-01 22:36:34.244,23.0
2018-01-01 22:42:34.241,23.1
2018-01-01 22:52:34.242,23.3
2018-01-01 22:56:34.241,23.1
2018-01-01 23:02:04.242,23.0
2018-01-01 23:26:34.246,22.9
2018-01-01 23:40:04.246,23.0
2018-01-01 23:41:34.246,23.1
2018-01-01 23:47:34.241,23.3
2018-01-01 23:51:04.241,23.4
2018-01-01 23:53:04.241,23.5
2018-01-02 00:04:34.241,23.7
2018-01-02 00:08:04.241,23.5
2018-01-02 00:11:04.241,23.4
2018-01-02 00:14:34.245,23.3
2018-01-02 00:17:34.244,23.2
2018-01-02 00:21:34.249,23.0
2018-01-02 00:25:34.244,22.9
2018-01-02 00:49:34.245,22.8
2018-01-02 00:59:34.244,22.9
2018-01-02 01:04:34.241,23.0
2018-01-02 01:35:34.247,22.9
2018-01-02 01:37:34.249,23.0
2018-01-02 01:45:34.241,23.2
2018-01-02 01:49:04.241,23.0
2018-01-02 01:51:34.246,22.9
2018-01-02 02:20:34.241,22.8
2018-01-02 03:15:34.241,22.9
2018-01-02 03:20:34.244,23.0
2018-01-02 03:39:34.245,22.9
2018-01-02 03:41:04.241,22.6
2018-01-02 03:54:04.241,22.6
2018-01-02 04:02:04.241,22.7
2018-01-02 04:07:04.244,22.8
2018-01-02 04:09:04.241,23.0
2018-01-02 04:24:34.241,23.1
2018-01-02 04:28:34.242,23.0
2018-01-02 04:29:34.245,22.8
2018-01-02 05:20:04.241,23.0
2018-01-02 05:58:34.246,22.8
2018-01-02 06:00:04.246,23.0
2018-01-02 07:06:34.241,22.8
2018-01-02 07:21:34.245,23.0
2018-01-02 07:23:34.241,22.8
2018-01-02 08:00:04.250,23.0
2018-01-02 08:40:04.246,22.8
2018-01-02 08:53:34.241,22.7
2018-01-02 08:57:04.249,22.9
2018-01-02 08:59:04.246,22.8
2018-01-02 09:13:04.241,22.9
2018-01-02 09:17:04.246,22.8
2018-01-02 09:23:04.241,22.6
2018-01-02 09:26:04.266,22.5
2018-01-02 09:29:04.241,22.4
2018-01-02 09:39:34.245,22.3
2018-01-02 10:22:04.245,22.4
2018-01-02 10:28:04.245,22.5
2018-01-02 10:34:04.249,22.4
2018-01-02 10:42:04.245,22.3
2018-01-02 10:45:34.242,22.4
2018-01-02 11:16:34.245,22.3
2018-01-02 11:50:34.241,22.4
2018-01-02 12:29:34.246,22.3
