ts,value
2017-12-31 15:14:34.241,23.1
2017-12-31 15:15:04.241,1.79769e+308
2017-12-31 15:15:34.241,23.1
2017-12-31 15:16:04.241,21.9
2017-12-31 15:16:34.245,21.3
2017-12-31 15:17:34.241,22.5
2017-12-31 15:27:04.241,26.0
2017-12-31 16:31:04.245,23.1
2017-12-31 16:31:34.242,21.3
2017-12-31 21:04:04.241,23.1
2018-01-01 17:17:04.241,23.7
2018-01-01 17:17:34.241,1.79769e+308
2018-01-01 17:18:34.268,23.7
2018-01-01 18:58:34.245,23.7
2018-01-01 22:49:04.241,23.1
2018-01-02 03:39:34.245,23.7
2018-01-02 03:40:04.246,1.79769e+308
2018-01-02 03:41:04.241,23.7
2018-01-02 09:03:04.256,23.7
2018-01-03 09:06:04.241,23.1
2018-01-03 09:32:42.498,1.79769e+308
2018-01-04 03:21:42.242,23.1
2018-01-04 08:50:42.245,23.7
2018-01-04 14:01:12.245,23.1
2018-01-05 16:48:42.245,23.7
2018-01-06 02:46:12.243,22.5
2018-01-06 02:46:42.281,1.79769e+308
2018-01-06 02:47:42.245,22.5
2018-01-06 04:53:12.241,22.5
2018-01-06 05:47:42.241,21.3
2018-01-06 18:01:42.241,20.2
2018-01-06 18:08:12.245,21.3
2018-01-06 20:33:12.245,21.9
2018-01-06 20:33:42.241,19.0
2018-01-06 20:36:12.241,22.5
2018-01-06 21:10:12.241,23.1
2018-01-06 21:16:12.243,21.3
2018-01-07 00:30:12.244,20.8
2018-01-07 07:11:42.241,22.5
2018-01-08 00:05:42.244,21.3
2018-01-08 00:09:12.241,22.5
2018-01-08 07:05:42.243,23.1
2018-01-08 11:39:42.241,21.3
2018-01-08 17:05:12.241,19.0
2018-01-08 17:06:42.241,21.3
2018-01-08 19:19:42.245,19.6
2018-01-08 19:26:42.245,22.5
2018-01-08 19:27:12.241,21.3
2018-01-08 20:39:12.241,22.5
2018-01-08 23:20:12.241,21.3
2018-01-09 00:34:42.245,21.9
2018-01-09 08:24:42.241,22.5
2018-01-09 10:28:16.770,1.79769e+308
2018-01-09 11:37:51.339,22.5
2018-01-09 18:20:21.339,21.3
2018-01-09 18:20:51.343,19.0
2018-01-09 18:25:51.339,21.3
2018-01-09 20:22:51.338,22.5
2018-01-10 07:53:51.346,23.7
2018-01-11 02:17:21.343,21.9
2018-01-11 03:01:21.348,23.1
2018-01-11 08:11:51.343,23.7
