ts,value
2017-12-31 15:14:34.241,23.1
2017-12-31 15:15:34.241,23.1
2017-12-31 15:16:04.241,21.9
2017-12-31 15:16:34.245,21.3
2017-12-31 15:17:34.241,22.5
2017-12-31 15:27:04.241,26.0
2017-12-31 16:31:04.245,23.1
2017-12-31 16:31:34.242,21.3
2017-12-31 21:04:04.241,23.1
2018-01-01 17:17:04.241,23.7
2018-01-01 17:18:34.268,23.7
2018-01-01 18:58:34.245,23.7
2018-01-01 22:49:04.241,23.1
2018-01-02 03:39:34.245,23.7
2018-01-02 03:41:04.241,23.7
2018-01-02 09:03:04.256,23.7
2018-01-03 09:06:04.241,23.1
2018-01-04 03:21:42.242,23.1
2018-01-04 08:50:42.245,23.7
2018-01-04 14:01:12.245,23.1
2018-01-05 16:48:42.245,23.7
2018-01-06 02:46:12.243,22.5
2018-01-06 02:47:42.245,22.5
2018-01-06 04:53:12.241,22.5
2018-01-06 05:47:42.241,21.3
2018-01-06 18:01:42.241,20.2
2018-01-06 18:08:12.245,21.3
2018-01-06 20:33:12.245,21.9
2018-01-06 20:33:42.241,19.0
2018-01-06 20:36:12.241,22.5
2018-01-06 21:10:12.241,23.1
2018-01-06 21:16:12.243,21.3
2018-01-07 00:30:12.244,20.8
2018-01-07 07:11:42.241,22.5
2018-01-08 00:05:42.244,21.3
2018-01-08 00:09:12.241,22.5
2018-01-08 07:05:42.243,23.1
2018-01-08 11:39:42.241,21.3
2018-01-08 17:05:12.241,19.0
2018-01-08 17:06:42.241,21.3
2018-01-08 19:19:42.245,19.6
2018-01-08 19:26:42.245,22.5
2018-01-08 19:27:12.241,21.3
2018-01-08 20:39:12.241,22.5
2018-01-08 23:20:12.241,21.3
2018-01-09 00:34:42.245,21.9
2018-01-09 08:24:42.241,22.5
2018-01-09 11:37:51.339,22.5
2018-01-09 18:20:21.339,21.3
2018-01-09 18:20:51.343,19.0
2018-01-09 18:25:51.339,21.3
2018-01-09 20:22:51.338,22.5
2018-01-10 07:53:51.346,23.7
2018-01-11 02:17:21.343,21.9
2018-01-11 03:01:21.348,23.1
2018-01-11 08:11:51.343,23.7
2018-01-11 08:57:21.338,21.9
2018-01-11 18:26:51.346,21.3
2018-01-11 18:44:21.339,22.5
2018-01-11 21:38:51.343,23.7
2018-01-12 08:46:51.346,22.5
2018-01-12 18:28:21.339,21.3
2018-01-13 01:53:51.343,22.5
2018-01-13 02:42:21.343,23.1
2018-01-13 07:10:21.339,21.9
2018-01-13 07:46:21.343,24.3
2018-01-13 10:07:21.343,21.9
2018-01-14 00:00:21.343,21.3
2018-01-14 00:03:21.343,22.5
2018-01-14 07:59:51.343,23.1
2018-01-15 03:41:51.343,21.3
2018-01-15 03:42:21.343,23.7
2018-01-15 08:13:51.340,23.1
2018-01-15 08:36:51.343,21.3
2018-01-15 11:23:10.690,21.3
2018-01-15 11:32:25.694,21.3
2018-01-15 11:54:34.704,21.3
2018-01-15 11:57:18.694,21.3
2018-01-15 12:06:48.690,21.3
2018-01-16 12:42:16.694,21.3
2018-01-16 21:42:16.694,20.8
2018-01-17 03:08:46.698,24.3
2018-01-17 07:11:46.690,25.4
2018-01-17 07:12:16.693,23.7
2018-01-17 07:53:16.691,22.5
2018-01-17 18:24:46.690,21.3
2018-01-18 04:58:16.694,23.7
2018-01-18 09:36:16.690,23.1
2018-01-18 17:46:16.692,21.3
2018-01-18 17:46:46.692,22.5
2018-01-18 21:50:46.699,23.1
2018-01-19 08:09:46.695,23.7
2018-01-19 19:32:46.690,21.3
2018-01-19 19:33:16.690,23.7
2018-01-20 08:59:46.694,24.3
2018-01-20 20:39:16.690,21.3
2018-01-21 02:38:16.700,24.3
2018-01-21 04:47:16.690,22.5
2018-01-21 10:00:46.699,23.7
2018-01-21 19:36:46.693,20.8
2018-01-21 19:38:16.695,22.5
2018-01-22 10:19:16.697,23.7
2018-01-22 19:41:46.694,21.3
2018-01-23 01:59:46.699,22.5
2018-01-23 09:29:16.695,23.7
2018-01-23 20:04:46.690,21.3
2018-01-24 03:19:46.699,24.3
2018-01-24 13:31:46.695,22.5
2018-01-24 18:13:46.695,21.9
2018-01-25 10:10:16.690,22.5
2018-01-26 03:04:46.695,21.3
2018-01-26 03:05:46.701,23.1
2018-01-26 04:07:16.693,23.7
2018-01-26 05:57:46.691,23.1
2018-01-26 06:00:46.690,24.8
2018-01-26 06:04:46.690,26.0
2018-01-26 09:15:16.690,24.8
2018-01-27 01:32:46.695,21.3
2018-01-27 09:45:46.691,23.7
2018-01-27 18:38:46.692,21.3
2018-01-28 07:08:16.700,23.7
2018-01-28 07:08:46.694,23.1
2018-01-28 08:10:16.692,22.5
2018-01-28 08:47:46.695,23.7
2018-01-29 05:27:16.690,21.3
2018-01-29 05:31:16.698,21.3
2018-01-30 07:56:46.698,21.3
2018-01-30 12:57:22.696,21.3
2018-01-30 20:02:52.690,20.8
2018-01-31 10:11:52.694,22.5
