ts,value
2017-12-31 15:14:34.241,0.0
2017-12-31 15:15:34.241,0.0
2018-01-01 17:17:04.241,0.0
2018-01-01 17:18:34.268,0.0
2018-01-02 03:39:34.245,0.0
2018-01-02 03:41:04.241,0.0
2018-01-03 09:06:04.241,0.0
2018-01-06 02:47:42.245,0.0
2018-01-09 08:24:42.241,0.0
2018-01-16 02:52:39.800,83.0
2018-01-16 02:52:42.440,86.0
2018-01-16 02:52:46.699,88.0
2018-01-16 02:52:47.720,92.0
2018-01-16 02:52:50.000,94.0
2018-01-16 02:52:52.652,97.0
2018-01-16 02:52:55.173,99.0
2018-01-16 02:53:16.692,100.0
2018-01-16 02:53:40.456,93.0
2018-01-16 02:53:42.737,95.0
2018-01-16 02:53:46.695,98.0
2018-01-16 02:53:47.539,100.0
2018-01-16 02:54:09.993,61.0
2018-01-16 02:54:12.634,63.0
2018-01-16 02:54:16.713,64.0
2018-01-16 02:54:17.437,65.0
2018-01-16 02:54:20.079,66.0
2018-01-16 02:54:22.724,68.0
2018-01-16 02:54:25.366,69.0
2018-01-16 02:54:28.006,70.0
2018-01-16 02:54:30.646,71.0
2018-01-16 02:54:32.927,73.0
2018-01-16 02:54:36.408,74.0
2018-01-16 02:54:39.530,65.0
2018-01-16 02:54:46.695,67.0
2018-01-16 02:54:46.971,69.0
2018-01-16 02:54:52.253,71.0
2018-01-16 02:54:54.893,72.0
2018-01-16 02:54:57.058,73.0
2018-01-16 02:55:02.342,75.0
2018-01-16 02:55:06.316,76.0
2018-01-16 02:55:09.796,77.0
2018-01-16 02:55:16.694,79.0
2018-01-16 02:55:17.718,81.0
2018-01-16 02:55:23.003,83.0
2018-01-16 02:55:25.643,84.0
2018-01-16 02:55:28.304,85.0
2018-01-16 02:55:30.945,86.0
2018-01-16 02:55:33.585,87.0
2018-01-16 02:55:37.444,88.0
2018-01-16 02:57:16.694,100.0
2018-01-16 02:57:40.249,31.0
2018-01-16 02:57:46.700,32.0
2018-01-16 02:57:47.694,34.0
2018-01-16 02:57:50.336,35.0
2018-01-16 02:57:52.617,36.0
2018-01-16 02:57:55.137,37.0
2018-01-16 02:57:57.779,38.0
2018-01-16 02:58:02.221,40.0
2018-01-16 02:58:06.182,41.0
2018-01-16 02:58:09.665,42.0
2018-01-16 02:58:16.694,44.0
2018-01-16 02:58:17.112,45.0
2018-01-16 02:58:19.753,46.0
2018-01-16 02:58:22.514,48.0
2018-01-16 02:58:27.673,49.0
2018-01-16 02:58:30.313,50.0
2018-01-16 02:58:32.595,51.0
2018-01-16 02:58:36.557,53.0
2018-01-16 02:58:39.557,54.0
2018-01-16 02:58:41.838,55.0
2018-01-16 02:58:43.998,56.0
2018-01-16 02:58:46.699,57.0
2018-01-16 02:58:48.918,58.0
2018-01-16 02:58:51.558,59.0
2018-01-16 02:58:54.199,60.0
2018-01-16 02:58:56.840,61.0
2018-01-16 02:58:59.000,62.0
2018-01-16 02:59:01.640,63.0
2018-01-16 02:59:03.920,64.0
2018-01-16 02:59:07.761,65.0
2018-01-16 02:59:11.723,67.0
2018-01-16 02:59:14.363,68.0
2018-01-16 02:59:16.705,69.0
2018-01-16 02:59:19.164,70.0
2018-01-16 02:59:21.804,71.0
2018-01-16 02:59:24.084,72.0
2018-01-16 02:59:26.725,73.0
2018-01-16 02:59:28.885,74.0
2018-01-16 02:59:31.527,75.0
2018-01-16 02:59:34.167,76.0
2018-01-16 02:59:38.128,77.0
2018-01-16 02:59:42.088,68.0
2018-01-16 02:59:46.696,69.0
2018-01-16 02:59:50.009,70.0
2018-01-16 02:59:54.809,71.0
2018-01-16 03:00:00.094,72.0
2018-01-16 03:00:06.213,73.0
2018-01-16 03:00:10.174,74.0
