ts,value
2017-12-31 15:14:34.241,0.0
2017-12-31 15:15:34.241,0.0
2017-12-31 15:17:34.241,100.0
2017-12-31 15:27:34.241,0.0
2017-12-31 15:27:53.008,81.0
2017-12-31 15:27:55.648,83.0
2017-12-31 15:27:58.290,84.0
2017-12-31 15:28:00.930,85.0
2017-12-31 15:28:04.246,87.0
2017-12-31 15:28:06.212,88.0
2017-12-31 15:28:08.375,89.0
2017-12-31 15:28:10.536,90.0
2017-12-31 15:28:12.817,91.0
2017-12-31 15:28:15.457,92.0
2017-12-31 15:28:18.938,94.0
2017-12-31 15:28:22.899,96.0
2017-12-31 15:28:25.063,97.0
2017-12-31 15:28:27.343,98.0
2017-12-31 15:28:29.506,99.0
2017-12-31 15:28:34.268,100.0
2017-12-31 15:28:52.436,81.0
2017-12-31 15:28:54.956,82.0
2017-12-31 15:28:57.599,83.0
2017-12-31 15:29:04.247,84.0
2017-12-31 15:29:04.682,86.0
2017-12-31 15:29:07.322,87.0
2017-12-31 15:29:09.962,88.0
2017-12-31 15:29:12.603,89.0
2017-12-31 15:29:15.243,90.0
2017-12-31 15:29:18.363,91.0
2017-12-31 15:29:22.325,93.0
2017-12-31 15:29:27.127,94.0
2017-12-31 15:29:29.408,95.0
2017-12-31 15:29:32.050,96.0
2017-12-31 15:29:34.253,97.0
2017-12-31 15:29:36.851,98.0
2017-12-31 15:29:39.133,99.0
2017-12-31 15:31:34.246,100.0
2017-12-31 15:31:51.691,80.0
2017-12-31 15:31:53.853,81.0
2017-12-31 15:31:59.133,82.0
2017-12-31 15:32:04.246,83.0
2017-12-31 15:32:09.337,84.0
2017-12-31 15:32:14.618,85.0
2017-12-31 15:32:22.422,86.0
2017-12-31 15:32:25.062,87.0
2017-12-31 15:32:27.703,88.0
2017-12-31 15:32:34.249,89.0
2017-12-31 15:32:37.807,90.0
2017-12-31 15:32:45.731,91.0
2017-12-31 15:32:49.694,92.0
2017-12-31 15:32:53.536,93.0
2017-12-31 15:32:58.457,94.0
2017-12-31 15:33:04.268,95.0
2017-12-31 15:33:08.542,96.0
2017-12-31 15:33:13.463,97.0
2017-12-31 15:33:19.946,98.0
2017-12-31 15:33:23.547,99.0
2017-12-31 15:34:04.246,100.0
2017-12-31 15:34:24.286,80.0
2017-12-31 15:34:34.246,81.0
2017-12-31 15:34:41.929,82.0
2017-12-31 15:34:52.369,20.0
2017-12-31 15:35:04.248,21.0
2017-12-31 15:35:09.171,22.0
2017-12-31 15:35:20.213,23.0
2017-12-31 15:35:24.054,20.0
2017-12-31 15:35:34.246,21.0
2017-12-31 15:35:41.338,22.0
2018-01-01 17:17:04.241,0.0
2018-01-01 17:18:34.268,0.0
2018-01-02 03:39:34.245,0.0
2018-01-02 03:41:04.241,0.0
2018-01-03 09:06:04.241,0.0
2018-01-06 02:47:42.245,0.0
2018-01-06 04:53:42.241,0.0
2018-01-06 04:54:42.245,100.0
2018-01-06 04:54:49.283,81.0
2018-01-06 04:54:51.923,83.0
2018-01-06 04:54:54.564,84.0
2018-01-06 04:54:57.205,85.0
2018-01-06 04:54:59.488,86.0
2018-01-06 04:55:02.130,88.0
2018-01-06 04:55:04.291,89.0
2018-01-06 04:55:06.451,90.0
2018-01-06 04:55:08.732,91.0
2018-01-06 04:55:12.245,92.0
2018-01-06 04:55:15.332,94.0
2018-01-06 04:56:42.241,100.0
2018-01-06 04:56:49.009,81.0
2018-01-06 04:56:51.169,82.0
2018-01-06 04:56:53.822,84.0
2018-01-06 04:56:56.466,85.0
2018-01-06 04:56:59.109,86.0
2018-01-06 04:57:01.751,88.0
2018-01-06 04:57:04.392,89.0
2018-01-06 04:57:07.033,90.0
2018-01-06 04:57:12.246,92.0
