ts,value
2017-12-31 00:05:04.241,0.0
2017-12-31 00:05:22.314,20.0
2017-12-31 00:05:34.250,21.0
2017-12-31 00:05:39.004,22.0
2017-12-31 00:05:50.525,23.0
2017-12-31 00:06:04.247,24.0
2017-12-31 00:06:11.170,25.0
2017-12-31 00:06:23.533,26.0
2017-12-31 00:06:34.245,27.0
2017-12-31 00:06:41.060,28.0
2017-12-31 00:06:50.302,29.0
2017-12-31 00:07:04.245,30.0
2017-12-31 00:07:10.950,31.0
2017-12-31 00:07:22.836,32.0
2017-12-31 00:07:34.245,33.0
2017-12-31 00:07:40.485,34.0
2017-12-31 00:07:53.565,35.0
2017-12-31 00:08:04.245,36.0
2017-12-31 00:08:11.210,37.0
2017-12-31 00:08:23.576,38.0
2017-12-31 00:08:34.249,39.0
2017-12-31 00:08:41.100,40.0
2017-12-31 00:08:53.005,41.0
2017-12-31 00:09:04.246,42.0
2017-12-31 00:09:11.514,43.0
2017-12-31 00:09:23.776,44.0
2017-12-31 00:09:34.247,45.0
2017-12-31 00:09:41.786,46.0
2017-12-31 00:10:34.245,0.0
2017-12-31 00:10:55.125,20.0
2017-12-31 00:11:04.247,21.0
2017-12-31 00:11:13.127,22.0
2017-12-31 00:11:21.552,23.0
2017-12-31 00:16:34.246,0.0
2017-12-31 00:16:55.610,20.0
2017-12-31 00:17:04.249,21.0
2017-12-31 00:17:14.096,22.0
2017-12-31 00:17:22.859,23.0
2017-12-31 00:17:34.244,0.0
2017-12-31 00:17:54.434,20.0
2017-12-31 00:18:04.246,21.0
2017-12-31 00:18:12.079,22.0
2017-12-31 00:19:04.244,0.0
2017-12-31 00:19:25.066,20.0
2017-12-31 00:19:34.246,21.0
2017-12-31 00:19:40.430,22.0
2017-12-31 00:19:50.513,23.0
2017-12-31 00:20:04.251,24.0
2017-12-31 00:20:10.323,25.0
2017-12-31 00:20:20.909,26.0
2017-12-31 00:20:34.250,27.0
2017-12-31 00:20:40.239,28.0
2017-12-31 00:20:50.801,29.0
2017-12-31 00:21:04.250,30.0
2017-12-31 00:21:11.450,31.0
2017-12-31 00:21:22.853,32.0
2017-12-31 00:21:34.250,33.0
2017-12-31 00:21:42.080,34.0
2017-12-31 00:21:53.122,35.0
2017-12-31 00:22:04.250,36.0
2017-12-31 00:22:11.263,37.0
2017-12-31 00:22:26.144,20.0
2017-12-31 00:22:34.249,21.0
2017-12-31 00:22:43.790,22.0
2017-12-31 00:22:52.552,23.0
2017-12-31 00:23:04.248,24.0
2017-12-31 00:23:11.876,25.0
2017-12-31 00:23:23.301,26.0
2017-12-31 00:23:34.245,27.0
2017-12-31 00:23:42.986,28.0
2017-12-31 00:23:54.029,29.0
2017-12-31 00:29:34.245,0.0
2017-12-31 00:30:04.241,20.0
2017-12-31 00:30:05.596,21.0
2017-12-31 00:30:16.159,22.0
2017-12-31 00:30:34.241,23.0
2017-12-31 00:30:35.847,24.0
2017-12-31 00:30:45.572,25.0
2017-12-31 00:31:04.245,26.0
2017-12-31 00:31:06.218,27.0
2017-12-31 00:31:16.299,28.0
2017-12-31 00:31:34.241,29.0
2017-12-31 00:31:35.263,30.0
2017-12-31 00:31:45.824,31.0
2017-12-31 00:32:04.244,32.0
2017-12-31 00:32:05.985,33.0
2017-12-31 00:32:15.710,34.0
2017-12-31 00:32:34.246,35.0
2017-12-31 00:32:38.171,36.0
2017-12-31 00:32:46.093,37.0
2017-12-31 00:33:04.241,38.0
2017-12-31 00:33:06.618,39.0
2017-12-31 00:33:17.201,40.0
2017-12-31 00:33:34.246,41.0
2017-12-31 00:33:37.849,42.0
2017-12-31 00:33:48.412,43.0
2017-12-31 00:34:04.244,44.0
2017-12-31 00:34:07.737,45.0
2017-12-31 00:34:17.842,46.0
2017-12-31 00:34:34.241,47.0
2017-12-31 00:34:38.846,48.0
2017-12-31 00:34:47.728,49.0
2017-12-31 00:35:04.241,20.0
2017-12-31 00:35:05.377,21.0
2017-12-31 00:35:15.457,22.0
2017-12-31 00:35:34.241,23.0
2017-12-31 00:35:35.621,24.0
2017-12-31 00:35:45.826,25.0
2017-12-31 00:35:54.949,26.0
2017-12-31 00:36:04.240,0.0
2017-12-31 00:36:34.249,20.0
2017-12-31 00:36:37.199,21.0
2017-12-31 00:36:47.305,22.0
2017-12-31 00:36:56.084,23.0
2017-12-31 00:40:34.241,0.0
2017-12-31 00:41:04.250,20.0
2017-12-31 00:41:06.187,21.0
2017-12-31 00:41:16.761,22.0
2017-12-31 00:41:34.244,0.0
2017-12-31 00:41:58.568,20.0
2017-12-31 00:42:04.246,21.0
2017-12-31 00:42:13.452,22.0
2017-12-31 00:42:34.241,23.0
2017-12-31 00:42:35.896,24.0
2017-12-31 00:42:46.459,25.0
2017-12-31 00:43:04.241,26.0
2017-12-31 00:43:06.622,27.0
2017-12-31 00:43:16.724,28.0
2017-12-31 00:43:34.245,29.0
2017-12-31 00:43:35.221,30.0
2017-12-31 00:43:45.303,31.0
2017-12-31 00:44:04.241,32.0
2017-12-31 00:44:05.506,33.0
2017-12-31 00:44:15.246,34.0
2017-12-31 00:44:34.241,35.0
2017-12-31 00:44:36.248,36.0
2017-12-31 00:44:46.328,37.0
2017-12-31 00:45:04.241,38.0
2017-12-31 00:45:08.317,39.0
2017-12-31 00:45:18.037,40.0
2017-12-31 00:45:34.246,41.0
2017-12-31 00:45:37.849,42.0
2017-12-31 00:45:47.573,43.0
2017-12-31 00:46:04.249,44.0
2017-12-31 00:46:08.218,45.0
2017-12-31 00:46:18.659,46.0
2017-12-31 00:46:34.241,47.0
2017-12-31 00:46:38.504,48.0
2017-12-31 00:46:48.584,49.0
2017-12-31 00:47:04.245,50.0
2017-12-31 00:47:09.233,51.0
2017-12-31 00:47:18.955,52.0
2017-12-31 00:47:34.249,20.0
2017-12-31 00:47:36.959,21.0
2017-12-31 00:47:44.898,22.0
2017-12-31 00:48:04.244,23.0
2017-12-31 00:48:05.909,24.0
2017-12-31 00:48:15.991,25.0
2017-12-31 00:48:27.396,26.0
2017-12-31 00:56:04.244,0.0
2017-12-31 00:56:34.249,20.0
2017-12-31 00:56:39.670,21.0
2017-12-31 00:56:49.392,22.0
2017-12-31 00:57:04.252,23.0
2017-12-31 00:57:09.678,24.0
2017-12-31 00:57:20.259,25.0
2017-12-31 00:57:34.251,26.0
2017-12-31 00:57:40.421,27.0
2017-12-31 00:57:50.983,28.0
2017-12-31 01:05:34.244,0.0
2017-12-31 01:06:04.245,20.0
2017-12-31 01:06:11.293,21.0
2017-12-31 01:06:21.498,22.0
2017-12-31 01:06:34.249,23.0
2017-12-31 01:06:43.101,24.0
2017-12-31 01:06:53.183,25.0
2017-12-31 01:07:04.245,26.0
2017-12-31 01:07:10.708,27.0
2017-12-31 01:07:21.270,28.0
2017-12-31 01:07:34.249,29.0
2017-12-31 01:07:43.235,30.0
2017-12-31 01:07:52.958,31.0
2017-12-31 01:08:04.246,52.0
2017-12-31 01:08:07.485,53.0
2017-12-31 01:08:12.766,54.0
2017-12-31 01:08:17.567,55.0
2017-12-31 01:08:22.487,56.0
2017-12-31 01:08:27.288,57.0
2017-12-31 01:08:34.267,40.0
2017-12-31 01:08:35.210,41.0
2017-12-31 01:08:39.170,42.0
2017-12-31 01:08:44.452,43.0
2017-12-31 01:08:49.372,44.0
2017-12-31 01:08:54.175,45.0
2017-12-31 01:09:04.245,46.0
2017-12-31 01:09:04.738,26.0
2017-12-31 01:09:07.379,27.0
2017-12-31 01:09:17.482,28.0
2017-12-31 01:09:27.929,29.0
2017-12-31 01:09:34.245,49.0
2017-12-31 01:09:35.009,50.0
2017-12-31 01:09:39.809,51.0
2017-12-31 01:09:44.249,52.0
2017-12-31 01:09:49.170,53.0
2017-12-31 01:09:53.971,54.0
2017-12-31 01:10:00.211,55.0
2017-12-31 01:10:04.246,56.0
2017-12-31 01:10:09.333,57.0
2017-12-31 01:10:14.617,58.0
2017-12-31 01:10:19.898,59.0
2017-12-31 01:10:25.180,60.0
2017-12-31 01:10:34.250,61.0
2017-12-31 01:10:35.283,62.0
2017-12-31 01:10:40.086,63.0
2017-12-31 01:10:45.008,64.0
2017-12-31 01:10:50.180,65.0
2017-12-31 01:10:55.122,66.0
2017-12-31 01:11:04.246,67.0
2017-12-31 01:11:06.885,68.0
2017-12-31 01:11:11.805,69.0
2017-12-31 01:11:16.247,70.0
2017-12-31 01:11:21.047,71.0
2017-12-31 01:11:25.968,72.0
2017-12-31 01:11:34.246,73.0
2017-12-31 01:11:36.410,74.0
2017-12-31 01:11:41.691,75.0
2017-12-31 01:11:46.612,76.0
2017-12-31 01:11:51.895,77.0
2017-12-31 01:11:57.056,78.0
2017-12-31 01:12:04.252,79.0
2017-12-31 01:12:04.977,40.0
2017-12-31 01:12:07.618,41.0
2017-12-31 01:12:12.441,42.0
2017-12-31 01:12:17.721,43.0
2017-12-31 01:12:23.001,44.0
2017-12-31 01:12:27.822,45.0
2017-12-31 01:12:34.250,46.0
2017-12-31 01:12:35.746,47.0
2017-12-31 01:12:43.210,48.0
2017-12-31 01:12:45.851,49.0
2017-12-31 01:12:51.132,50.0
2017-12-31 01:12:56.414,51.0
2017-12-31 01:13:04.250,40.0
2017-12-31 01:13:06.858,41.0
2017-12-31 01:13:12.159,42.0
2017-12-31 01:13:17.439,43.0
2017-12-31 01:13:22.240,44.0
2017-12-31 01:13:27.521,45.0
2017-12-31 01:13:34.245,46.0
2017-12-31 01:13:37.606,47.0
2017-12-31 01:13:42.888,48.0
2017-12-31 01:13:47.330,49.0
2017-12-31 01:13:52.151,50.0
2017-12-31 01:13:57.432,51.0
2017-12-31 01:14:04.248,52.0
2017-12-31 01:14:07.516,53.0
2017-12-31 01:14:12.316,54.0
2017-12-31 01:14:17.236,55.0
2017-12-31 01:14:22.519,56.0
2017-12-31 01:14:27.799,57.0
2017-12-31 01:14:34.248,58.0
2017-12-31 01:14:37.401,59.0
2017-12-31 01:14:41.843,60.0
2017-12-31 01:14:46.765,61.0
2017-12-31 01:14:51.925,62.0
2017-12-31 01:15:04.243,63.0
2017-12-31 01:15:04.675,64.0
2017-12-31 01:15:07.314,65.0
2017-12-31 01:15:11.754,66.0
2017-12-31 01:15:17.036,67.0
2017-12-31 01:15:22.323,68.0
2017-12-31 01:15:29.883,69.0
2017-12-31 01:15:34.250,49.0
2017-12-31 01:15:36.376,50.0
2017-12-31 01:15:46.097,51.0
2017-12-31 01:16:04.246,52.0
2017-12-31 01:16:04.459,73.0
2017-12-31 01:16:09.740,74.0
2017-12-31 01:16:14.661,75.0
2017-12-31 01:16:19.940,76.0
2017-12-31 01:16:24.760,77.0
2017-12-31 01:16:34.246,78.0
2017-12-31 01:16:34.842,59.0
2017-12-31 01:16:45.403,60.0
2017-12-31 01:17:04.242,61.0
2017-12-31 01:17:05.208,62.0
2017-12-31 01:17:15.303,63.0
2017-12-31 01:17:34.245,64.0
2017-12-31 01:17:35.851,85.0
2017-12-31 01:17:40.292,86.0
2017-12-31 01:17:44.735,87.0
2017-12-31 01:17:51.817,88.0
2017-12-31 01:17:57.097,89.0
2017-12-31 01:18:04.247,90.0
2017-12-31 01:18:07.182,91.0
2017-12-31 01:18:11.626,92.0
2017-12-31 01:18:15.707,93.0
2017-12-31 01:18:20.149,94.0
2017-12-31 01:18:25.310,95.0
2017-12-31 01:18:34.246,96.0
2017-12-31 01:18:37.672,97.0
2017-12-31 01:18:42.474,98.0
2017-12-31 01:18:47.759,99.0
2017-12-31 01:23:04.243,100.0
2017-12-31 01:23:05.848,80.0
2017-12-31 01:23:13.292,81.0
2017-12-31 01:23:34.242,82.0
2017-12-31 01:23:35.378,83.0
2017-12-31 01:23:43.302,84.0
2017-12-31 01:24:04.241,85.0
2017-12-31 01:24:04.788,20.0
2017-12-31 01:24:12.373,21.0
2017-12-31 01:24:34.246,22.0
2017-12-31 01:24:34.820,43.0
2017-12-31 01:24:37.342,44.0
2017-12-31 01:24:42.625,45.0
2017-12-31 01:24:47.907,46.0
2017-12-31 01:24:52.368,47.0
2017-12-31 01:25:04.242,48.0
